"Industries,
 Prefectures and 21 Major cities",,,,,Number of establishments,,,,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
14,パルプ・紙・紙加工品製造業,00,全国計,2017,"1,539","1,146",352,41,"136,008","613,537","4,107,708","6,481,156","6,078,791","1,951,736"
14,パルプ・紙・紙加工品製造業,00,全国計,2018,"1,556","1,154",359,43,"138,157","621,867","4,309,805","6,665,108","6,229,935","1,928,531"
14,パルプ・紙・紙加工品製造業,00,全国計,2019,"1,540","1,135",363,42,"139,106","633,928","4,319,254","6,788,009","6,341,982","2,052,794"
14,パルプ・紙・紙加工品製造業,01,北海道,2019,43,25,16,2,"5,201","28,227","240,595","369,668","353,900","106,284"
14,パルプ・紙・紙加工品製造業,02,青森県,2019,13,11,***,2,"1,782","10,047","61,515","98,150","98,558","31,011"
14,パルプ・紙・紙加工品製造業,03,岩手県,2019,11,8,3,***,943,"3,853","30,929","48,917","47,655","14,521"
14,パルプ・紙・紙加工品製造業,04,宮城県,2019,18,14,3,1,"1,997","10,504","107,099","178,435","173,792","55,689"
14,パルプ・紙・紙加工品製造業,05,秋田県,2019,5,4,1,***,427,"2,128","29,977","36,324","37,171","4,906"
14,パルプ・紙・紙加工品製造業,06,山形県,2019,11,9,2,***,673,"2,623","10,760","17,108","14,447","5,389"
14,パルプ・紙・紙加工品製造業,07,福島県,2019,31,20,10,1,"2,882","13,299","140,891","198,109","189,529","43,341"
14,パルプ・紙・紙加工品製造業,08,茨城県,2019,51,33,17,1,"4,957","22,078","151,395","222,687","212,906","59,945"
14,パルプ・紙・紙加工品製造業,09,栃木県,2019,43,30,11,2,"5,293","25,714","140,629","254,314","233,973","95,366"
14,パルプ・紙・紙加工品製造業,10,群馬県,2019,22,17,5,***,"1,438","6,265","47,745","72,328","65,361","20,525"
14,パルプ・紙・紙加工品製造業,11,埼玉県,2019,128,102,25,1,"9,567","41,759","264,328","432,107","407,731","142,792"
14,パルプ・紙・紙加工品製造業,12,千葉県,2019,44,37,5,2,"3,654","14,350","71,292","119,238","116,078","41,372"
14,パルプ・紙・紙加工品製造業,13,東京都,2019,36,31,5,***,"2,240","10,705","57,300","87,303","66,309","25,782"
14,パルプ・紙・紙加工品製造業,14,神奈川県,2019,51,33,16,2,"5,064","23,295","124,991","197,142","175,811","61,845"
14,パルプ・紙・紙加工品製造業,15,新潟県,2019,30,25,3,2,"2,966","12,343","123,112","191,576","192,389","55,841"
14,パルプ・紙・紙加工品製造業,16,富山県,2019,26,15,10,1,"3,115","13,870","85,627","140,868","119,302","45,542"
14,パルプ・紙・紙加工品製造業,17,石川県,2019,11,10,1,***,674,"2,417","9,162","14,742","14,496","4,775"
14,パルプ・紙・紙加工品製造業,18,福井県,2019,14,10,4,***,"1,108","5,725","45,500","73,236","59,893","22,956"
14,パルプ・紙・紙加工品製造業,19,山梨県,2019,7,6,1,***,537,"2,170","9,584","14,767","13,154","4,286"
14,パルプ・紙・紙加工品製造業,20,長野県,2019,20,17,3,***,"1,447","6,417","48,601","67,119","55,338","15,726"
14,パルプ・紙・紙加工品製造業,21,岐阜県,2019,51,41,9,1,"4,200","18,773","125,771","190,964","179,413","55,587"
14,パルプ・紙・紙加工品製造業,22,静岡県,2019,170,127,39,4,"14,772","69,720","490,109","771,245","725,083","227,212"
14,パルプ・紙・紙加工品製造業,23,愛知県,2019,100,76,21,3,"9,240","40,197","252,837","395,919","346,013","120,550"
14,パルプ・紙・紙加工品製造業,24,三重県,2019,19,14,4,1,"1,621","6,852","47,432","69,836","66,728","18,711"
14,パルプ・紙・紙加工品製造業,25,滋賀県,2019,33,18,14,1,"3,540","15,454","97,054","168,677","153,826","61,780"
14,パルプ・紙・紙加工品製造業,26,京都府,2019,28,20,8,***,"2,298","11,620","69,910","110,811","96,179","34,819"
14,パルプ・紙・紙加工品製造業,27,大阪府,2019,101,80,19,2,"7,417","31,939","160,908","262,285","241,641","87,481"
14,パルプ・紙・紙加工品製造業,28,兵庫県,2019,63,43,18,2,"5,672","28,176","172,629","294,526","280,167","100,511"
14,パルプ・紙・紙加工品製造業,29,奈良県,2019,17,12,4,1,"1,619","6,409","30,647","52,972","51,763","19,663"
14,パルプ・紙・紙加工品製造業,30,和歌山県,2019,7,3,4,***,676,"3,389","20,333","32,507","30,103","10,614"
14,パルプ・紙・紙加工品製造業,31,鳥取県,2019,12,7,4,1,"1,459","6,796","64,992","94,989","89,948","25,083"
14,パルプ・紙・紙加工品製造業,32,島根県,2019,12,9,3,***,"1,077","3,795","16,775","29,356","28,985","10,516"
14,パルプ・紙・紙加工品製造業,33,岡山県,2019,33,22,11,***,"3,188","12,354","66,402","109,320","104,652","36,859"
14,パルプ・紙・紙加工品製造業,34,広島県,2019,20,17,3,***,"1,462","7,412","64,886","89,465","84,819","20,174"
14,パルプ・紙・紙加工品製造業,35,山口県,2019,15,10,4,1,"1,747","8,279","65,603","90,070","86,398","19,673"
14,パルプ・紙・紙加工品製造業,36,徳島県,2019,18,11,7,***,"2,049","11,888","76,102","115,392","109,041","31,079"
14,パルプ・紙・紙加工品製造業,37,香川県,2019,28,18,9,1,"2,834","11,440","80,826","117,605","109,960","30,198"
14,パルプ・紙・紙加工品製造業,38,愛媛県,2019,75,56,14,5,"8,241","38,593","358,783","527,282","507,803","137,377"
14,パルプ・紙・紙加工品製造業,39,高知県,2019,28,24,3,1,"2,346","10,210","31,297","58,872","56,740","22,444"
14,パルプ・紙・紙加工品製造業,40,福岡県,2019,43,39,4,***,"2,507","9,955","45,640","73,523","66,655","23,949"
14,パルプ・紙・紙加工品製造業,41,佐賀県,2019,14,7,7,***,"1,329","5,768","45,166","75,875","68,467","27,076"
14,パルプ・紙・紙加工品製造業,42,長崎県,2019,3,2,1,***,229,507,829,"1,931","1,570",785
14,パルプ・紙・紙加工品製造業,43,熊本県,2019,13,9,3,1,"1,289","6,289","55,136","93,749","90,118","32,853"
14,パルプ・紙・紙加工品製造業,44,大分県,2019,6,4,2,***,603,"2,506","18,306","34,515","33,470","13,703"
14,パルプ・紙・紙加工品製造業,45,宮崎県,2019,6,3,3,***,681,X,X,X,X,X
14,パルプ・紙・紙加工品製造業,46,鹿児島県,2019,6,3,3,***,685,"3,189","31,892","47,981","41,543","12,031"
14,パルプ・紙・紙加工品製造業,47,沖縄県,2019,4,3,1,***,360,X,X,X,X,X
14,パルプ・紙・紙加工品製造業,61,札幌市,2019,7,5,2,***,470,"1,975","6,113","12,053","11,094","5,276"
14,パルプ・紙・紙加工品製造業,62,仙台市,2019,***,***,***,***,***,***,***,***,***,***
14,パルプ・紙・紙加工品製造業,63,さいたま市,2019,7,6,1,***,411,"1,948","14,555","21,410","20,111","5,836"
14,パルプ・紙・紙加工品製造業,64,千葉市,2019,3,3,***,***,164,705,"1,763","3,399","3,267","1,425"
14,パルプ・紙・紙加工品製造業,65,東京特別区,2019,26,23,3,***,"1,660","8,222","47,362","71,975","54,617","21,163"
14,パルプ・紙・紙加工品製造業,66,横浜市,2019,11,7,3,1,"1,412","6,322","35,982","55,556","47,811","16,758"
14,パルプ・紙・紙加工品製造業,67,川崎市,2019,4,2,2,***,444,"2,439","7,934","15,056","14,446","6,325"
14,パルプ・紙・紙加工品製造業,68,相模原市,2019,5,3,2,***,523,"2,341","11,193","16,796","12,658","4,830"
14,パルプ・紙・紙加工品製造業,69,新潟市,2019,8,6,***,2,"1,217","5,852","88,341","139,230","142,332","41,913"
14,パルプ・紙・紙加工品製造業,70,静岡市,2019,14,11,2,1,"1,320","5,778","16,549","28,997","26,395","10,860"
14,パルプ・紙・紙加工品製造業,71,浜松市,2019,7,7,***,***,429,"1,559","6,629","11,071","10,008","3,776"
14,パルプ・紙・紙加工品製造業,72,名古屋市,2019,10,9,1,***,602,"2,690","9,300","17,538","14,620","7,096"
14,パルプ・紙・紙加工品製造業,73,京都市,2019,8,8,***,***,424,"1,867","8,116","12,131","11,107","3,526"
14,パルプ・紙・紙加工品製造業,74,大阪市,2019,21,18,3,***,"1,289","6,429","36,583","62,734","58,436","22,266"
14,パルプ・紙・紙加工品製造業,75,堺市,2019,3,2,1,***,317,"1,068","7,384","10,359","10,378","2,384"
14,パルプ・紙・紙加工品製造業,76,神戸市,2019,4,4,***,***,211,830,"8,211","12,678","12,703","3,007"
14,パルプ・紙・紙加工品製造業,77,岡山市,2019,12,8,4,***,"1,165","4,203","23,717","37,581","36,772","11,314"
14,パルプ・紙・紙加工品製造業,78,広島市,2019,7,6,1,***,381,"1,501","5,373","9,172","8,709","3,346"
14,パルプ・紙・紙加工品製造業,79,北九州市,2019,9,9,***,***,467,"1,989","10,280","15,770","14,847","4,390"
14,パルプ・紙・紙加工品製造業,80,福岡市,2019,2,2,***,***,83,X,X,X,X,X
14,パルプ・紙・紙加工品製造業,81,熊本市,2019,4,4,***,***,300,X,X,X,X,X
15,印刷・同関連業,00,全国計,2015,"1,963","1,583",324,56,"162,869","735,566","2,074,731","4,015,150","3,874,483","1,671,404"
15,印刷・同関連業,00,全国計,2016,"1,937","1,535",345,57,"166,996","738,193","2,027,797","3,899,455","3,806,405","1,612,782"
15,印刷・同関連業,00,全国計,2017,"1,950","1,538",353,59,"167,957","742,954","2,000,875","3,864,495","3,768,295","1,612,847"
15,印刷・同関連業,00,全国計,2018,"1,933","1,520",354,59,"166,537","740,268","1,886,044","3,661,955","3,562,056","1,536,951"
15,印刷・同関連業,00,全国計,2019,"1,892","1,482",348,62,"166,094","734,853","1,870,522","3,667,693","3,569,950","1,553,701"
15,印刷・同関連業,01,北海道,2019,55,43,12,***,"4,072","15,285","35,303","69,760","65,982","30,327"
15,印刷・同関連業,02,青森県,2019,16,15,1,***,737,"2,367","5,075","10,339","10,222","4,056"
15,印刷・同関連業,03,岩手県,2019,16,13,3,***,"1,051","3,989","10,642","25,916","25,938","13,238"
15,印刷・同関連業,04,宮城県,2019,37,27,10,***,"3,254","13,650","39,910","77,128","72,427","33,137"
15,印刷・同関連業,05,秋田県,2019,9,9,***,***,419,"1,337","2,001","5,283","5,182","2,843"
15,印刷・同関連業,06,山形県,2019,19,12,7,***,"1,393","4,703","11,133","21,942","21,144","9,135"
15,印刷・同関連業,07,福島県,2019,28,25,3,***,"1,640","5,698","14,844","30,234","29,219","12,909"
15,印刷・同関連業,08,茨城県,2019,42,33,8,1,"4,035","17,813","66,307","109,756","108,593","35,925"
15,印刷・同関連業,09,栃木県,2019,27,20,7,***,"2,222","8,122","28,613","47,240","46,903","15,639"
15,印刷・同関連業,10,群馬県,2019,29,21,7,1,"2,704","12,961","32,749","66,844","66,426","30,406"
15,印刷・同関連業,11,埼玉県,2019,210,147,51,12,"23,952","113,415","288,173","587,970","577,465","258,140"
15,印刷・同関連業,12,千葉県,2019,42,36,6,***,"3,052","12,696","37,347","79,466","77,773","36,596"
15,印刷・同関連業,13,東京都,2019,270,217,41,12,"26,806","136,602","219,643","503,443","492,066","247,139"
15,印刷・同関連業,14,神奈川県,2019,68,55,11,2,"5,823","29,723","54,741","136,891","134,249","70,882"
15,印刷・同関連業,15,新潟県,2019,49,36,13,***,"3,680","12,797","34,891","63,857","58,631","24,449"
15,印刷・同関連業,16,富山県,2019,17,13,3,1,"1,374","5,073","14,670","26,666","25,030","9,904"
15,印刷・同関連業,17,石川県,2019,28,20,6,2,"2,716","11,531","31,820","62,964","57,922","26,357"
15,印刷・同関連業,18,福井県,2019,14,10,4,***,"1,167","4,463","9,061","20,167","19,754","9,534"
15,印刷・同関連業,19,山梨県,2019,2,1,1,***,303,X,X,X,X,X
15,印刷・同関連業,20,長野県,2019,40,35,5,***,"2,478","9,932","22,995","49,211","48,187","22,311"
15,印刷・同関連業,21,岐阜県,2019,40,35,4,1,"3,053","11,595","34,358","68,219","67,946","28,513"
15,印刷・同関連業,22,静岡県,2019,54,37,13,4,"5,794","22,868","69,269","119,554","118,767","42,671"
15,印刷・同関連業,23,愛知県,2019,110,88,18,4,"9,093","40,154","136,820","232,463","221,977","83,696"
15,印刷・同関連業,24,三重県,2019,14,11,3,***,"1,033","4,106","14,165","23,212","22,783","7,386"
15,印刷・同関連業,25,滋賀県,2019,23,14,7,2,"3,047","15,869","55,149","96,262","95,614","33,666"
15,印刷・同関連業,26,京都府,2019,52,40,9,3,"5,523","25,676","92,057","163,289","158,816","62,690"
15,印刷・同関連業,27,大阪府,2019,180,148,29,3,"13,817","59,777","166,993","307,806","297,225","123,607"
15,印刷・同関連業,28,兵庫県,2019,47,30,15,2,"4,262","18,907","47,778","96,533","93,383","43,059"
15,印刷・同関連業,29,奈良県,2019,18,12,4,2,"2,524","12,397","28,128","52,550","52,041","20,467"
15,印刷・同関連業,30,和歌山県,2019,8,7,1,***,504,"1,886","2,396","6,681","7,011","4,375"
15,印刷・同関連業,31,鳥取県,2019,10,10,***,***,462,"1,525","2,576","5,624","5,616","2,808"
15,印刷・同関連業,32,島根県,2019,8,8,***,***,349,"1,143","2,776","5,448","5,441","2,327"
15,印刷・同関連業,33,岡山県,2019,42,33,6,3,"3,602","15,884","49,218","92,651","92,862","38,691"
15,印刷・同関連業,34,広島県,2019,45,39,6,***,"2,764","11,669","29,044","56,163","53,745","23,452"
15,印刷・同関連業,35,山口県,2019,17,11,6,***,"1,389","5,108","12,671","23,293","21,597","8,716"
15,印刷・同関連業,36,徳島県,2019,8,7,1,***,626,"3,405","4,099","9,574","9,594","4,669"
15,印刷・同関連業,37,香川県,2019,32,26,5,1,"2,416","9,385","24,780","48,664","47,544","20,000"
15,印刷・同関連業,38,愛媛県,2019,16,14,2,***,968,"3,369","7,945","14,958","12,607","5,776"
15,印刷・同関連業,39,高知県,2019,6,6,***,***,261,X,X,X,X,X
15,印刷・同関連業,40,福岡県,2019,62,45,11,6,"6,575","27,055","80,900","148,811","144,555","59,000"
15,印刷・同関連業,41,佐賀県,2019,8,7,1,***,528,"2,123","5,033","11,741","11,137","5,649"
15,印刷・同関連業,42,長崎県,2019,8,7,1,***,446,"1,518","1,898","4,959","4,956","2,626"
15,印刷・同関連業,43,熊本県,2019,25,22,3,***,"1,678","5,550","15,146","29,121","28,331","12,341"
15,印刷・同関連業,44,大分県,2019,10,9,1,***,571,"2,021","3,850","7,909","7,805","3,579"
15,印刷・同関連業,45,宮崎県,2019,8,7,1,***,442,"1,678","4,009","9,837","9,716","5,179"
15,印刷・同関連業,46,鹿児島県,2019,14,14,***,***,792,"2,632","4,903","11,053","9,824","5,277"
15,印刷・同関連業,47,沖縄県,2019,9,7,2,***,697,"2,661","5,619","12,352","11,983","5,906"
15,印刷・同関連業,61,札幌市,2019,34,26,8,***,"2,734","9,892","22,668","46,452","43,360","21,005"
15,印刷・同関連業,62,仙台市,2019,29,21,8,***,"2,531","11,021","34,546","64,520","59,800","26,895"
15,印刷・同関連業,63,さいたま市,2019,14,9,5,***,"1,186","4,882","6,693","17,202","16,906","8,854"
15,印刷・同関連業,64,千葉市,2019,6,6,***,***,346,"1,373","2,443","7,517","7,167","4,357"
15,印刷・同関連業,65,東京特別区,2019,228,186,33,9,"22,785","119,298","187,945","418,104","409,079","199,184"
15,印刷・同関連業,66,横浜市,2019,28,24,4,***,"1,766","7,882","12,681","32,693","30,745","17,325"
15,印刷・同関連業,67,川崎市,2019,11,10,1,***,771,"3,990","5,675","22,503","21,923","15,340"
15,印刷・同関連業,68,相模原市,2019,5,4,***,1,615,"3,490","5,212","14,215","14,214","8,039"
15,印刷・同関連業,69,新潟市,2019,15,10,5,***,"1,414","5,018","12,538","23,985","21,288","9,783"
15,印刷・同関連業,70,静岡市,2019,17,15,1,1,"1,242","6,062","11,202","22,944","22,430","9,736"
15,印刷・同関連業,71,浜松市,2019,10,6,4,***,981,"3,530","8,444","16,430","16,239","6,962"
15,印刷・同関連業,72,名古屋市,2019,45,36,6,3,"3,858","17,585","63,823","109,360","106,604","40,688"
15,印刷・同関連業,73,京都市,2019,40,33,5,2,"3,536","16,357","56,686","101,139","97,064","38,580"
15,印刷・同関連業,74,大阪市,2019,81,63,16,2,"6,709","29,251","81,515","148,174","142,658","57,949"
15,印刷・同関連業,75,堺市,2019,9,7,2,***,743,"2,941","12,849","20,534","20,405","6,926"
15,印刷・同関連業,76,神戸市,2019,13,9,4,***,899,"4,065","8,409","14,984","14,512","5,833"
15,印刷・同関連業,77,岡山市,2019,29,22,4,3,"2,764","12,439","41,980","78,297","78,601","33,028"
15,印刷・同関連業,78,広島市,2019,18,13,5,***,"1,337","5,717","13,309","25,361","23,224","10,343"
15,印刷・同関連業,79,北九州市,2019,16,11,2,3,"2,009","8,135","28,943","49,061","49,032","17,343"
15,印刷・同関連業,80,福岡市,2019,21,16,5,***,"1,471","6,650","17,701","30,884","28,576","11,640"
15,印刷・同関連業,81,熊本市,2019,13,12,1,***,846,"2,703","7,129","13,228","12,634","5,468"
16,化学工業,00,全国計,2015,"2,194","1,332",630,232,"312,565","1,783,526","15,231,862","26,920,383","25,802,656","9,925,341"
16,化学工業,00,全国計,2016,"2,190","1,282",668,240,"322,763","1,814,799","13,451,837","25,585,215","24,391,168","10,478,751"
16,化学工業,00,全国計,2017,"2,213","1,290",677,246,"330,827","1,848,097","14,592,251","26,972,990","25,822,059","10,892,744"
16,化学工業,00,全国計,2018,"2,244","1,311",680,253,"339,816","1,908,569","15,864,908","28,132,640","27,003,487","10,922,314"
16,化学工業,00,全国計,2019,"2,270","1,333",679,258,"346,216","1,940,815","15,237,692","27,630,835","26,578,079","10,955,772"
16,化学工業,01,北海道,2019,32,25,6,1,"2,663","13,373","76,474","144,892","135,732","59,185"
16,化学工業,02,青森県,2019,4,2,2,***,455,"2,939","13,620","32,004","30,772","15,361"
16,化学工業,03,岩手県,2019,9,5,3,1,"1,341","5,992","22,404","46,132","42,882","15,784"
16,化学工業,04,宮城県,2019,17,12,5,***,"1,327","5,979","42,495","73,746","68,939","26,405"
16,化学工業,05,秋田県,2019,6,2,3,1,"1,746","7,428","25,764","53,337","53,943","21,849"
16,化学工業,06,山形県,2019,18,9,5,4,"3,306","16,513","82,282","245,579","252,506","148,601"
16,化学工業,07,福島県,2019,58,36,19,3,"8,173","43,804","275,454","521,983","462,088","210,549"
16,化学工業,08,茨城県,2019,103,61,31,11,"15,173","85,626","942,371","1,580,935","1,543,347","563,241"
16,化学工業,09,栃木県,2019,51,29,15,7,"7,048","31,328","412,686","676,848","661,783","227,620"
16,化学工業,10,群馬県,2019,55,29,17,9,"10,044","52,208","290,081","761,460","749,407","416,127"
16,化学工業,11,埼玉県,2019,159,98,39,22,"22,073","106,931","877,844","1,628,529","1,570,956","679,739"
16,化学工業,12,千葉県,2019,138,78,43,17,"20,783","127,703","1,229,660","2,059,859","1,997,904","723,336"
16,化学工業,13,東京都,2019,63,48,11,4,"8,923","54,018","159,403","337,598","324,032","157,007"
16,化学工業,14,神奈川県,2019,124,63,46,15,"20,913","127,902","1,091,661","1,854,077","1,843,903","672,488"
16,化学工業,15,新潟県,2019,29,11,10,8,"7,723","45,253","333,958","604,706","517,326","255,528"
16,化学工業,16,富山県,2019,80,33,27,20,"15,245","73,331","447,027","752,960","656,132","274,042"
16,化学工業,17,石川県,2019,13,4,7,2,"2,229","10,516","58,789","165,175","161,838","94,977"
16,化学工業,18,福井県,2019,32,21,8,3,"3,851","20,420","133,574","230,786","221,632","83,203"
16,化学工業,19,山梨県,2019,11,6,5,***,"1,116","4,935","15,785","46,682","47,474","28,787"
16,化学工業,20,長野県,2019,18,14,4,***,"1,448","7,610","30,976","78,864","77,803","44,117"
16,化学工業,21,岐阜県,2019,49,32,13,4,"5,576","29,705","103,871","269,152","266,452","146,942"
16,化学工業,22,静岡県,2019,110,49,39,22,"22,809","128,512","1,066,784","1,831,793","1,765,396","718,128"
16,化学工業,23,愛知県,2019,97,57,33,7,"13,134","79,563","727,362","1,211,283","1,189,563","431,301"
16,化学工業,24,三重県,2019,65,30,22,13,"15,169","88,247","748,287","1,229,808","1,186,449","433,031"
16,化学工業,25,滋賀県,2019,70,46,22,2,"6,880","36,114","358,796","1,018,474","992,939","606,856"
16,化学工業,26,京都府,2019,39,24,13,2,"4,628","23,992","78,322","186,952","187,196","94,504"
16,化学工業,27,大阪府,2019,211,149,46,16,"26,133","154,748","900,369","1,487,855","1,374,636","506,813"
16,化学工業,28,兵庫県,2019,155,91,53,11,"21,613","125,112","1,268,262","2,068,271","1,969,994","715,768"
16,化学工業,29,奈良県,2019,26,17,8,1,"2,972","12,502","63,550","103,488","99,885","34,061"
16,化学工業,30,和歌山県,2019,38,26,11,1,"5,424","30,372","166,278","363,394","358,984","164,318"
16,化学工業,31,鳥取県,2019,1,***,1,***,134,X,X,X,X,X
16,化学工業,32,島根県,2019,5,2,2,1,945,"3,211","15,880","31,921","32,206","14,549"
16,化学工業,33,岡山県,2019,69,40,22,7,"11,390","67,431","779,279","1,044,911","987,788","217,222"
16,化学工業,34,広島県,2019,39,23,14,2,"5,968","36,013","192,443","400,069","392,308","178,841"
16,化学工業,35,山口県,2019,58,27,15,16,"14,845","94,289","912,405","1,942,628","1,859,315","883,456"
16,化学工業,36,徳島県,2019,31,15,10,6,"6,720","41,744","151,537","614,772","612,048","422,818"
16,化学工業,37,香川県,2019,20,9,8,3,"3,342","14,039","68,800","146,806","130,375","64,954"
16,化学工業,38,愛媛県,2019,22,14,5,3,"3,998","27,070","214,418","332,635","329,295","89,381"
16,化学工業,39,高知県,2019,3,3,***,***,136,512,"4,041","6,854","6,943","2,620"
16,化学工業,40,福岡県,2019,52,37,8,7,"7,194","43,147","239,457","442,254","429,366","173,983"
16,化学工業,41,佐賀県,2019,19,13,5,1,"2,410","10,946","67,559","153,553","148,230","78,104"
16,化学工業,42,長崎県,2019,2,1,1,***,237,X,X,X,X,X
16,化学工業,43,熊本県,2019,21,12,7,2,"3,517","16,648","47,004","122,998","116,131","62,587"
16,化学工業,44,大分県,2019,20,11,7,2,"2,862","18,117","393,734","542,099","540,089","128,598"
16,化学工業,45,宮崎県,2019,16,8,7,1,"1,877","10,445","91,913","150,959","153,313","55,332"
16,化学工業,46,鹿児島県,2019,5,5,***,***,251,"1,118","9,638","16,592","13,938","6,085"
16,化学工業,47,沖縄県,2019,7,6,1,***,472,"1,534","1,551","4,329","3,827","2,404"
16,化学工業,61,札幌市,2019,2,1,1,***,173,X,X,X,X,X
16,化学工業,62,仙台市,2019,3,1,2,***,317,"1,673","3,552","14,404","13,714","9,554"
16,化学工業,63,さいたま市,2019,9,3,3,3,"1,902","10,081","54,261","161,001","159,133","94,842"
16,化学工業,64,千葉市,2019,3,1,2,***,296,"1,661","19,436","23,925","22,276","3,978"
16,化学工業,65,東京特別区,2019,42,31,7,4,"7,244","45,118","131,103","278,083","265,727","129,508"
16,化学工業,66,横浜市,2019,20,13,7,***,"1,823","11,019","38,575","83,532","79,156","40,482"
16,化学工業,67,川崎市,2019,30,13,12,5,"6,337","47,080","674,813","913,461","919,343","213,403"
16,化学工業,68,相模原市,2019,8,4,4,***,910,"4,165","31,865","48,414","48,493","14,415"
16,化学工業,69,新潟市,2019,8,3,3,2,"1,735","11,654","161,845","218,922","120,465","52,738"
16,化学工業,70,静岡市,2019,12,5,5,2,"1,843","11,034","57,927","95,893","90,214","34,648"
16,化学工業,71,浜松市,2019,2,1,1,***,277,X,X,X,X,X
16,化学工業,72,名古屋市,2019,12,8,2,2,"2,079","13,830","94,867","174,784","171,933","70,220"
16,化学工業,73,京都市,2019,16,10,5,1,"1,846","9,776","35,001","67,061","66,615","28,674"
16,化学工業,74,大阪市,2019,74,47,23,4,"9,490","59,217","262,118","473,672","389,983","183,338"
16,化学工業,75,堺市,2019,27,22,5,***,"2,120","12,048","88,319","163,361","153,571","62,180"
16,化学工業,76,神戸市,2019,29,21,8,***,"2,472","12,247","284,048","383,696","395,741","103,201"
16,化学工業,77,岡山市,2019,12,8,3,1,"1,916","10,821","56,851","92,101","93,855","32,905"
16,化学工業,78,広島市,2019,6,4,2,***,489,"2,382","8,858","41,326","40,200","28,247"
16,化学工業,79,北九州市,2019,20,15,2,3,"2,795","18,918","95,217","192,456","191,465","85,120"
16,化学工業,80,福岡市,2019,1,1,***,***,52,X,X,X,X,X
16,化学工業,81,熊本市,2019,5,3,1,1,"1,748",X,X,X,X,X
17,石油製品・石炭製品製造業,00,全国計,2015,93,54,17,22,"16,062","115,996","10,796,518","13,940,181","13,363,391","181,444"
17,石油製品・石炭製品製造業,00,全国計,2016,102,63,17,22,"17,164","119,475","7,600,107","11,080,677","10,822,434","678,210"
17,石油製品・石炭製品製造業,00,全国計,2017,105,69,13,23,"17,428","125,016","9,085,267","12,767,834","12,697,595","1,176,110"
17,石油製品・石炭製品製造業,00,全国計,2018,102,66,12,24,"17,877","135,076","11,043,997","14,482,783","14,365,356","1,093,575"
17,石油製品・石炭製品製造業,00,全国計,2019,102,63,15,24,"18,525","134,432","10,190,334","13,303,594","13,105,280","761,333"
17,石油製品・石炭製品製造業,01,北海道,2019,3,2,***,1,462,"3,509","539,155","761,185","738,974","79,023"
17,石油製品・石炭製品製造業,02,青森県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,03,岩手県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,04,宮城県,2019,2,1,***,1,415,X,X,X,X,X
17,石油製品・石炭製品製造業,05,秋田県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,06,山形県,2019,1,1,***,***,30,X,X,X,X,X
17,石油製品・石炭製品製造業,07,福島県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,08,茨城県,2019,4,2,1,1,645,X,X,X,X,X
17,石油製品・石炭製品製造業,09,栃木県,2019,2,1,1,***,193,X,X,X,X,X
17,石油製品・石炭製品製造業,10,群馬県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,11,埼玉県,2019,1,1,***,***,47,X,X,X,X,X
17,石油製品・石炭製品製造業,12,千葉県,2019,13,8,1,4,"2,787","21,448","2,199,674","2,817,765","2,733,793","135,214"
17,石油製品・石炭製品製造業,13,東京都,2019,2,2,***,***,103,X,X,X,X,X
17,石油製品・石炭製品製造業,14,神奈川県,2019,15,11,1,3,"2,753","23,041","1,688,669","2,302,174","2,280,161","109,635"
17,石油製品・石炭製品製造業,15,新潟県,2019,2,2,***,***,73,X,X,X,X,X
17,石油製品・石炭製品製造業,16,富山県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,17,石川県,2019,1,1,***,***,54,X,X,X,X,X
17,石油製品・石炭製品製造業,18,福井県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,19,山梨県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,20,長野県,2019,1,1,***,***,39,X,X,X,X,X
17,石油製品・石炭製品製造業,21,岐阜県,2019,***,***,***,***,***,***,***,***,***,***
17,石油製品・石炭製品製造業,22,静岡県,2019,4,4,***,***,169,779,"8,345","11,309","10,755","2,540"
17,石油製品・石炭製品製造業,23,愛知県,2019,6,5,***,1,715,"5,118","503,071","739,436","723,771","210,583"
17,石油製品・石炭製品製造業,24,三重県,2019,5,1,2,2,"1,503",X,X,X,X,X
17,石油製品・石炭製品製造業,25,滋賀県,2019,1,1,***,***,34,X,X,X,X,X
17,石油製品・石炭製品製造業,26,京都府,2019,2,2,***,***,99,X,X,X,X,X
17,石油製品・石炭製品製造業,27,大阪府,2019,9,6,1,2,"1,327","10,774","996,662","1,319,178","1,318,307","72,773"
17,石油製品・石炭製品製造業,28,兵庫県,2019,5,2,2,1,882,"4,742","113,713","150,157","149,026","29,609"
